nSeq,I1,I2,O1,O2,A1
9,0,0,0,0,514
10,0,0,0,0,503
11,0,0,0,0,502
12,0,0,0,0,511
13,0,0,0,0,503
14,0,0,0,0,503
15,0,0,0,0,529
0,0,0,0,0,507
1,0,0,0,0,508
2,0,0,0,0,524
3,0,0,0,0,512
4,0,0,0,0,501
5,0,0,0,0,506
6,0,0,0,0,513
7,0,0,0,0,504
8,0,0,0,0,516
9,0,0,0,0,503
10,0,0,0,0,528
11,0,0,0,0,514
12,0,0,0,0,507
13,0,0,0,0,508
14,0,0,0,0,498
15,0,0,0,0,509
0,0,0,0,0,506
1,0,0,0,0,505
2,0,0,0,0,506
3,0,0,0,0,506
4,0,0,0,0,505
5,0,0,0,0,509
6,0,0,0,0,510
7,0,0,0,0,505
8,0,0,0,0,499
9,0,0,0,0,511
10,0,0,0,0,506
11,0,0,0,0,515
12,0,0,0,0,512
13,0,0,0,0,507
14,0,0,0,0,515
15,0,0,0,0,508
0,0,0,0,0,489
1,0,0,0,0,511
2,0,0,0,0,508
3,0,0,0,0,503
4,0,0,0,0,497
5,0,0,0,0,502
6,0,0,0,0,516
7,0,0,0,0,512
8,0,0,0,0,508
9,0,0,0,0,513
10,0,0,0,0,513
11,0,0,0,0,526
12,0,0,0,0,499
13,0,0,0,0,509
14,0,0,0,0,509
15,0,0,0,0,509
0,0,0,0,0,512
1,0,0,0,0,506
2,0,0,0,0,519
3,0,0,0,0,504
4,0,0,0,0,507
5,0,0,0,0,493
6,0,0,0,0,507
7,0,0,0,0,503
8,0,0,0,0,487
9,0,0,0,0,512
10,0,0,0,0,508
11,0,0,0,0,511
12,0,0,0,0,494
13,0,0,0,0,489
14,0,0,0,0,521
15,0,0,0,0,509
0,0,0,0,0,511
1,0,0,0,0,512
2,0,0,0,0,506
3,0,0,0,0,504
4,0,0,0,0,514
5,0,0,0,0,501
6,0,0,0,0,522
7,0,0,0,0,516
8,0,0,0,0,508
9,0,0,0,0,491
10,0,0,0,0,503
11,0,0,0,0,507
12,0,0,0,0,518
13,0,0,0,0,508
14,0,0,0,0,511
15,0,0,0,0,507
0,0,0,0,0,491
1,0,0,0,0,505
2,0,0,0,0,502
3,0,0,0,0,515
4,0,0,0,0,498
5,0,0,0,0,505
6,0,0,0,0,505
7,0,0,0,0,504
8,0,0,0,0,510
9,0,0,0,0,504
10,0,0,0,0,512
11,0,0,0,0,502
12,0,0,0,0,509
13,0,0,0,0,508
14,0,0,0,0,502
15,0,0,0,0,499
0,0,0,0,0,502
1,0,0,0,0,508
2,0,0,0,0,499
3,0,0,0,0,505
4,0,0,0,0,519
5,0,0,0,0,500
6,0,0,0,0,499
7,0,0,0,0,499
8,0,0,0,0,511
9,0,0,0,0,506
10,0,0,0,0,501
11,0,0,0,0,498
12,0,0,0,0,512
13,0,0,0,0,510
14,0,0,0,0,507
15,0,0,0,0,514
0,0,0,0,0,511
1,0,0,0,0,503
2,0,0,0,0,516
3,0,0,0,0,510
4,0,0,0,0,509
5,0,0,0,0,495
6,0,0,0,0,506
7,0,0,0,0,511
8,0,0,0,0,490
9,0,0,0,0,510
10,0,0,0,0,509
11,0,0,0,0,495
12,0,0,0,0,509
13,0,0,0,0,512
14,0,0,0,0,511
15,0,0,0,0,519
0,0,0,0,0,508
1,0,0,0,0,507
2,0,0,0,0,503
3,0,0,0,0,503
4,0,0,0,0,502
5,0,0,0,0,502
6,0,0,0,0,505
7,0,0,0,0,512
8,0,0,0,0,510
9,0,0,0,0,519
10,0,0,0,0,511
11,0,0,0,0,510
12,0,0,0,0,510
13,0,0,0,0,503
14,0,0,0,0,503
15,0,0,0,0,508
0,0,0,0,0,514
1,0,0,0,0,513
2,0,0,0,0,507
3,0,0,0,0,504
4,0,0,0,0,508
5,0,0,0,0,501
6,0,0,0,0,508
7,0,0,0,0,514
8,0,0,0,0,508
9,0,0,0,0,509
10,0,0,0,0,504
11,0,0,0,0,502
12,0,0,0,0,511
13,0,0,0,0,513
14,0,0,0,0,508
15,0,0,0,0,503
0,0,0,0,0,505
1,0,0,0,0,508
2,0,0,0,0,513
3,0,0,0,0,504
4,0,0,0,0,507
5,0,0,0,0,513
6,0,0,0,0,511
7,0,0,0,0,512
8,0,0,0,0,498
9,0,0,0,0,509
10,0,0,0,0,495
11,0,0,0,0,535
12,0,0,0,0,519
13,0,0,0,0,506
14,0,0,0,0,508
15,0,0,0,0,513
0,0,0,0,0,505
1,0,0,0,0,513
2,0,0,0,0,485
3,0,0,0,0,516
4,0,0,0,0,555
5,0,0,0,0,448
6,0,0,0,0,499
7,0,0,0,0,496
8,0,0,0,0,492
9,0,0,0,0,508
10,0,0,0,0,505
11,0,0,0,0,610
12,0,0,0,0,510
13,0,0,0,0,465
14,0,0,0,0,476
15,0,0,0,0,491
0,0,0,0,0,452
1,0,0,0,0,494
2,0,0,0,0,416
3,0,0,0,0,475
4,0,0,0,0,444
5,0,0,0,0,577
