nSeq,I1,I2,O1,O2,A2
2,0,0,0,0,517
3,0,0,0,0,516
4,0,0,0,0,518
5,0,0,0,0,516
6,0,0,0,0,514
7,0,0,0,0,515
8,0,0,0,0,536
9,0,0,0,0,535
10,0,0,0,0,486
11,0,0,0,0,393
12,0,0,0,0,438
13,0,0,0,0,568
14,0,0,0,0,585
15,0,0,0,0,550
0,0,0,0,0,529
1,0,0,0,0,524
2,0,0,0,0,522
3,0,0,0,0,520
4,0,0,0,0,517
5,0,0,0,0,515
6,0,0,0,0,514
7,0,0,0,0,515
8,0,0,0,0,512
9,0,0,0,0,514
10,0,0,0,0,511
11,0,0,0,0,509
12,0,0,0,0,511
13,0,0,0,0,509
14,0,0,0,0,509
15,0,0,0,0,513
0,0,0,0,0,513
1,0,0,0,0,515
2,0,0,0,0,515
3,0,0,0,0,515
4,0,0,0,0,514
5,0,0,0,0,515
6,0,0,0,0,517
7,0,0,0,0,519
8,0,0,0,0,524
9,0,0,0,0,523
10,0,0,0,0,524
11,0,0,0,0,523
12,0,0,0,0,525
13,0,0,0,0,524
14,0,0,0,0,523
15,0,0,0,0,520
0,0,0,0,0,521
1,0,0,0,0,520
2,0,0,0,0,521
3,0,0,0,0,518
4,0,0,0,0,517
5,0,0,0,0,517
6,0,0,0,0,516
7,0,0,0,0,515
8,0,0,0,0,515
9,0,0,0,0,515
10,0,0,0,0,515
11,0,0,0,0,513
12,0,0,0,0,511
13,0,0,0,0,510
14,0,0,0,0,512
15,0,0,0,0,512
0,0,0,0,0,513
1,0,0,0,0,511
2,0,0,0,0,518
3,0,0,0,0,516
4,0,0,0,0,517
5,0,0,0,0,515
6,0,0,0,0,517
7,0,0,0,0,519
8,0,0,0,0,517
9,0,0,0,0,516
10,0,0,0,0,516
11,0,0,0,0,514
12,0,0,0,0,514
13,0,0,0,0,513
14,0,0,0,0,515
15,0,0,0,0,512
0,0,0,0,0,511
1,0,0,0,0,510
2,0,0,0,0,508
3,0,0,0,0,512
4,0,0,0,0,515
5,0,0,0,0,520
6,0,0,0,0,522
7,0,0,0,0,514
8,0,0,0,0,511
9,0,0,0,0,515
10,0,0,0,0,516
11,0,0,0,0,515
12,0,0,0,0,516
13,0,0,0,0,515
14,0,0,0,0,515
15,0,0,0,0,518
0,0,0,0,0,517
1,0,0,0,0,514
2,0,0,0,0,526
3,0,0,0,0,541
4,0,0,0,0,505
5,0,0,0,0,408
6,0,0,0,0,387
7,0,0,0,0,528
8,0,0,0,0,581
9,0,0,0,0,555
10,0,0,0,0,538
11,0,0,0,0,529
12,0,0,0,0,527
13,0,0,0,0,520
14,0,0,0,0,519
15,0,0,0,0,515
0,0,0,0,0,518
1,0,0,0,0,515
2,0,0,0,0,515
3,0,0,0,0,514
4,0,0,0,0,512
5,0,0,0,0,513
6,0,0,0,0,511
7,0,0,0,0,512
8,0,0,0,0,516
9,0,0,0,0,515
10,0,0,0,0,516
11,0,0,0,0,514
12,0,0,0,0,514
13,0,0,0,0,511
14,0,0,0,0,514
15,0,0,0,0,513
0,0,0,0,0,513
1,0,0,0,0,513
2,0,0,0,0,519
3,0,0,0,0,522
4,0,0,0,0,523
5,0,0,0,0,522
6,0,0,0,0,525
7,0,0,0,0,522
8,0,0,0,0,523
9,0,0,0,0,523
10,0,0,0,0,524
11,0,0,0,0,521
12,0,0,0,0,520
13,0,0,0,0,518
14,0,0,0,0,516
15,0,0,0,0,515
0,0,0,0,0,518
1,0,0,0,0,515
2,0,0,0,0,516
3,0,0,0,0,512
4,0,0,0,0,511
5,0,0,0,0,512
6,0,0,0,0,514
7,0,0,0,0,512
8,0,0,0,0,514
9,0,0,0,0,514
10,0,0,0,0,516
11,0,0,0,0,515
12,0,0,0,0,515
13,0,0,0,0,518
14,0,0,0,0,518
15,0,0,0,0,517
0,0,0,0,0,516
1,0,0,0,0,514
2,0,0,0,0,514
3,0,0,0,0,516
4,0,0,0,0,517
5,0,0,0,0,516
6,0,0,0,0,518
7,0,0,0,0,513
8,0,0,0,0,518
9,0,0,0,0,513
10,0,0,0,0,514
11,0,0,0,0,507
12,0,0,0,0,505
13,0,0,0,0,500
14,0,0,0,0,499
15,0,0,0,0,498
0,0,0,0,0,500
1,0,0,0,0,499
2,0,0,0,0,500
3,0,0,0,0,503
4,0,0,0,0,506
5,0,0,0,0,503
6,0,0,0,0,502
7,0,0,0,0,496
8,0,0,0,0,498
9,0,0,0,0,503
10,0,0,0,0,505
11,0,0,0,0,508
12,0,0,0,0,514
13,0,0,0,0,515
14,0,0,0,0,516
15,0,0,0,0,516
0,0,0,0,0,517
1,0,0,0,0,520
2,0,0,0,0,545
3,0,0,0,0,515
4,0,0,0,0,424
5,0,0,0,0,368
6,0,0,0,0,503
7,0,0,0,0,588
8,0,0,0,0,568
9,0,0,0,0,538
10,0,0,0,0,532
11,0,0,0,0,524
12,0,0,0,0,525
13,0,0,0,0,520
14,0,0,0,0,517
15,0,0,0,0,517
0,0,0,0,0,515
1,0,0,0,0,512
2,0,0,0,0,513
3,0,0,0,0,512
4,0,0,0,0,511
5,0,0,0,0,512
6,0,0,0,0,514
7,0,0,0,0,513
8,0,0,0,0,519
9,0,0,0,0,516
10,0,0,0,0,520
11,0,0,0,0,517
12,0,0,0,0,516
13,0,0,0,0,514
